Team,Tag,Primary,Secondary,Tertiary
1. FC Köln,KOE,#ED1C24,#FFFFFF,#000000
1. FC Union Berlin,FCU,#D4011D,#FCEA10,#FFFFFF
VfL Bochum 1848,BOC,#005BA4,#FFFFFF,#000000
SV Darmstadt 98,D98,#004C99,#FFFFFF,#FF6600
1. FC Heidenheim,HDH,#003B79,#E2001A,#FFFFFF
FSV Mainz 05,M05,#C3141E,#FFFFFF,#AAE2f2
Bayer 04 Leverkusen,B04,#E22726,#F3E305,#000000
Borussia Dortmund,BVB,#FDE100,#000000,#77090c
Borussia Mönchengladbach,BMG,#417E37,#000000,#FFFFFF
Eintract Frankfurt,SGE,#E00914,#FFFFFF,#000000
FC Augsburg,FCA,#BA3733,#46714D,#FFD42E
FC Bayern München,FCB,#DC052D,#0066B2,#FFFFFF
RB Leipzig,RBL,#DD0741,#001F47,#FFFFFF
SC Freiburg,SCF,#000000,#FD1220,#FFFFFF
SV Werder Bremen,SVW,#1D9053,#FFFFFF,#F6B69E
TSG 1899 Hoffenheim,TSG,#1961B5,#FFFFFF,#F4A856
VfB Stuttgart,VFB,#D40723,#FFDC00,#FFFFFF
VfL Wolfsburg,WOB,#65B32E,#FFFFFF,#0000FF
MSV Duisburg,MSV,#2E356B,#FFFFFF,#000000
Hamburger SV,HSV,#1E5CB3,#FFFFFF,#000000
Hannover 96,H96,#009E3D,#FFFFFF,#000000
FC Schalke 04,S04,#004B9C,#FFFFFF,#000000
Hertha BSC,BSC,#004D9E,#FFFFFF,#000000
1. FC Kaiserslautern,FCK,#E30614,#FFFFFF,#000000
1. FC Nürnberg,FCN,#AA1124,#FFFFFF,#000000
Arminia Bielefeld,DSC,#005C9D,#000000,#FFFFFF
FC Energie Cottbus,FCE,#f9001c,#edff16,#FFFFFF
Alemannia Aachen,ALE,#FFDE00,#000000,#FFFFFF
Karlsruher SC,KSC,#004C94,#FFFFFF,#000000
FC Hansa Rostock,FCH,#0080C9,#E52721,#FFFFFF
FC St. Pauli,STP,#e30613,#624839,#272625
SpVgg Greuther Fürth,SGF,#009C3A,#FFFFFF,#000000
Fortuna Düsseldorf,F95,#E30A18,#FFFFFF,#000000
Eintracht Braunschweig,EBS,#0076BD,#FEDD06,#E00A14
SC Paderborn 07,SCP,#005ca8,#FFFFFF,#000000
FC Ingolstadt 04,FCI,#ff0000,#000000,#333333
Holstein Kiel,KIE,#0f5787,#cc3043,#FFFFFF
