Matchday,Date,Time,Location,Home Team,Away Team,Home Goals,Away Goals,Result,Geri Home Goals Predicted,Geri Away Goals Predicted,Geri Result Predicted,Andreas Home Goals Predicted,Andreas Away Goals Predicted,Andreas Result Predicted,Johnny Home Goals Predicted,Johnny Away Goals Predicted,Johnny Result Predicted,Gerd Home Goals Predicted,Gerd Away Goals Predicted,Gerd Result Predicted,Samson Home Goals Predicted,Samson Away Goals Predicted,Samson Result Predicted,Moddy Home Goals Predicted,Moddy Away Goals Predicted,Moddy Result Predicted,Hermann Home Goals Predicted,Hermann Away Goals Predicted,Hermann Result Predicted
1,18/08/2023,18:30,wohninvest WESERSTADION,SVW,FCB,0,4,Away Win,1,3,Away Win,1,1,Tie,1,3,Away Win,2,2,Tie,0,4,Away Win,1,3,Away Win,1,3,Away Win
1,19/08/2023,13:30,Mercedes-Benz Arena,VFB,BOC,5,0,Home Win,0,1,Away Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,0,1,Away Win,1,2,Away Win,2,0,Home Win
1,19/08/2023,13:30,WWK ARENA,FCA,BMG,4,4,Tie,0,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie,2,2,Tie,0,1,Away Win
1,19/08/2023,13:30,PreZero Arena,TSG,SCF,1,2,Away Win,0,2,Away Win,1,1,Tie,2,1,Home Win,2,2,Tie,1,3,Away Win,1,2,Away Win,1,2,Away Win
1,19/08/2023,13:30,Volkswagen Arena,WOB,HDH,2,0,Home Win,2,0,Home Win,2,0,Home Win,1,0,Home Win,3,0,Home Win,1,1,Tie,3,1,Home Win,1,1,Tie
1,19/08/2023,13:30,BayArena,B04,RBL,3,2,Home Win,1,2,Away Win,2,2,Tie,1,2,Away Win,1,1,Tie,1,3,Away Win,2,2,Tie,2,2,Tie
1,19/08/2023,16:30,SIGNAL IDUNA PARK,BVB,KOE,1,0,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,2,1,Home Win,3,1,Home Win,1,2,Away Win,3,0,Home Win
1,20/08/2023,13:30,An der Alten Försterei,1. FC Union Berlin,M05,4,1,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
1,20/08/2023,15:30,Deutsche Bank Park,SGE,D98,1,0,Home Win,2,0,Home Win,5,0,Home Win,2,0,Home Win,3,1,Home Win,2,0,Home Win,3,0,Home Win,3,1,Home Win
2,25/08/2023,18:30,Red Bull Arena,RBL,VFB,5,1,Home Win,2,1,Home Win,3,0,Home Win,2,0,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,0,Home Win
2,26/08/2023,13:30,Merck-Stadion am Böllenfalltor,D98,1. FC Union Berlin,1,4,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
2,26/08/2023,13:30,Voith-Arena,HDH,TSG,2,3,Away Win,0,2,Away Win,0,0,Tie,0,1,Away Win,1,2,Away Win,1,1,Tie,1,2,Away Win,1,0,Home Win
2,26/08/2023,13:30,Vonovia Ruhrstadion,BOC,BVB,1,1,Tie,0,2,Away Win,1,3,Away Win,0,2,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,0,1,Away Win
2,26/08/2023,13:30,RheinEnergieSTADION,KOE,WOB,1,2,Away Win,2,1,Home Win,1,1,Tie,1,0,Home Win,2,1,Home Win,2,0,Home Win,2,1,Home Win,1,0,Home Win
2,26/08/2023,13:30,Europa-Park Stadion,SCF,SVW,1,0,Home Win,2,1,Home Win,4,2,Home Win,2,0,Home Win,2,0,Home Win,3,2,Home Win,2,2,Tie,0,1,Away Win
2,26/08/2023,16:30,BORUSSIA-PARK,BMG,B04,0,3,Away Win,1,2,Away Win,1,3,Away Win,1,2,Away Win,1,3,Away Win,2,2,Tie,2,3,Away Win,2,3,Away Win
2,27/08/2023,13:30,MEWA ARENA,M05,SGE,1,1,Tie,0,2,Away Win,2,2,Tie,1,1,Tie,1,1,Tie,1,4,Away Win,2,1,Home Win,1,1,Tie
2,27/08/2023,15:30,Allianz Arena,FCB,FCA,3,1,Home Win,2,0,Home Win,4,1,Home Win,3,1,Home Win,4,1,Home Win,3,1,Home Win,5,1,Home Win,4,0,Home Win
3,01/09/2023,18:30,SIGNAL IDUNA PARK,BVB,HDH,2,2,Tie,3,1,Home Win,4,1,Home Win,2,1,Home Win,3,1,Home Win,4,1,Home Win,4,1,Home Win,3,0,Home Win
3,02/09/2023,13:30,Mercedes-Benz Arena,VFB,SCF,5,0,Home Win,0,2,Away Win,1,1,Tie,1,2,Away Win,2,2,Tie,1,3,Away Win,1,2,Away Win,2,1,Home Win
3,02/09/2023,13:30,WWK ARENA,FCA,BOC,2,2,Tie,2,1,Home Win,2,0,Home Win,2,1,Home Win,3,1,Home Win,1,1,Tie,2,1,Home Win,2,1,Home Win
3,02/09/2023,13:30,wohninvest WESERSTADION,SVW,M05,4,0,Home Win,1,1,Tie,2,1,Home Win,1,0,Home Win,2,1,Home Win,1,0,Home Win,2,3,Away Win,1,1,Tie
3,02/09/2023,13:30,PreZero Arena,TSG,WOB,3,1,Home Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie,2,2,Tie,2,2,Tie,1,1,Tie
3,02/09/2023,13:30,BayArena,B04,D98,5,1,Home Win,3,0,Home Win,4,0,Home Win,3,0,Home Win,4,1,Home Win,2,0,Home Win,3,0,Home Win,4,0,Home Win
3,02/09/2023,16:30,BORUSSIA-PARK,BMG,FCB,1,2,Away Win,0,3,Away Win,1,3,Away Win,1,3,Away Win,1,4,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win
3,03/09/2023,13:30,Deutsche Bank Park,SGE,KOE,1,1,Tie,1,2,Away Win,2,1,Home Win,0,1,Away Win,1,1,Tie,1,2,Away Win,1,2,Away Win,2,2,Tie
3,03/09/2023,15:30,An der Alten Försterei,1. FC Union Berlin,RBL,0,3,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
4,15/09/2023,18:30,Allianz Arena,FCB,B04,2,2,Tie,2,1,Home Win,3,2,Home Win,2,1,Home Win,2,2,Tie,1,2,Away Win,2,2,Tie,2,2,Tie
4,16/09/2023,13:30,RheinEnergieSTADION,KOE,TSG,1,3,Away Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,1,1,Tie,2,2,Tie,3,1,Home Win,3,1,Home Win
4,16/09/2023,13:30,MEWA ARENA,M05,VFB,1,3,Away Win,1,2,Away Win,1,1,Tie,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,2,Tie,1,2,Away Win
4,16/09/2023,13:30,Volkswagen Arena,WOB,1. FC Union Berlin,2,1,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
4,16/09/2023,13:30,Europa-Park Stadion,SCF,BVB,2,4,Away Win,1,2,Away Win,2,1,Home Win,1,2,Away Win,1,1,Tie,2,2,Tie,1,2,Away Win,1,1,Tie
4,16/09/2023,13:30,Red Bull Arena,RBL,FCA,3,0,Home Win,2,0,Home Win,3,0,Home Win,3,0,Home Win,3,0,Home Win,2,0,Home Win,3,1,Home Win,3,0,Home Win
4,16/09/2023,16:30,Vonovia Ruhrstadion,BOC,SGE,1,1,Tie,0,1,Away Win,0,2,Away Win,0,1,Away Win,2,1,Home Win,0,1,Away Win,1,3,Away Win,2,1,Home Win
4,17/09/2023,13:30,Voith-Arena,HDH,SVW,4,2,Home Win,0,1,Away Win,1,2,Away Win,0,1,Away Win,1,2,Away Win,1,1,Tie,1,1,Tie,1,1,Tie
4,17/09/2023,15:30,Merck-Stadion am Böllenfalltor,D98,BMG,3,3,Tie,0,1,Away Win,1,1,Tie,1,2,Away Win,0,2,Away Win,1,4,Away Win,1,2,Away Win,1,3,Away Win
5,22/09/2023,18:30,Mercedes-Benz Arena,VFB,D98,3,1,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,2,1,Home Win,3,1,Home Win,3,0,Home Win
5,23/09/2023,13:30,WWK ARENA,FCA,M05,2,1,Home Win,2,1,Home Win,1,1,Tie,2,1,Home Win,1,1,Tie,1,1,Tie,2,1,Home Win,1,1,Tie
5,23/09/2023,13:30,BORUSSIA-PARK,BMG,RBL,0,1,Away Win,1,2,Away Win,0,2,Away Win,1,3,Away Win,2,3,Away Win,1,3,Away Win,2,2,Tie,1,2,Away Win
5,23/09/2023,13:30,An der Alten Försterei,1. FC Union Berlin,TSG,0,2,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
5,23/09/2023,13:30,SIGNAL IDUNA PARK,BVB,WOB,1,0,Home Win,2,1,Home Win,1,2,Away Win,2,1,Home Win,2,1,Home Win,2,2,Tie,1,2,Away Win,2,2,Tie
5,23/09/2023,13:30,Allianz Arena,FCB,BOC,7,0,Home Win,4,0,Home Win,5,1,Home Win,4,0,Home Win,5,1,Home Win,4,2,Home Win,5,0,Home Win,4,0,Home Win
5,23/09/2023,16:30,wohninvest WESERSTADION,SVW,KOE,2,1,Home Win,0,1,Away Win,2,1,Home Win,1,1,Tie,2,2,Tie,2,2,Tie,2,3,Away Win,2,2,Tie
5,24/09/2023,13:30,BayArena,B04,HDH,4,1,Home Win,4,1,Home Win,3,1,Home Win,3,1,Home Win,4,0,Home Win,3,0,Home Win,4,1,Home Win,4,0,Home Win
5,24/09/2023,15:30,Deutsche Bank Park,SGE,SCF,0,0,Tie,1,0,Home Win,0,0,Tie,2,1,Home Win,1,2,Away Win,1,1,Tie,2,2,Tie,2,1,Home Win
6,29/09/2023,18:30,PreZero Arena,TSG,BVB,1,3,Away Win,1,2,Away Win,2,2,Tie,1,2,Away Win,2,2,Tie,1,2,Away Win,2,2,Tie,2,2,Tie
6,30/09/2023,13:30,Voith-Arena,HDH,1. FC Union Berlin,1,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
6,30/09/2023,13:30,Vonovia Ruhrstadion,BOC,BMG,1,3,Away Win,0,2,Away Win,1,1,Tie,1,2,Away Win,2,2,Tie,0,1,Away Win,1,2,Away Win,3,1,Home Win
6,30/09/2023,13:30,RheinEnergieSTADION,KOE,VFB,0,2,Away Win,1,0,Home Win,1,2,Away Win,2,1,Home Win,1,2,Away Win,2,1,Home Win,2,1,Home Win,1,2,Away Win
6,30/09/2023,13:30,MEWA ARENA,M05,B04,0,3,Away Win,2,3,Away Win,0,3,Away Win,1,3,Away Win,1,3,Away Win,0,4,Away Win,1,3,Away Win,1,4,Away Win
